time_s,total_load_kw,bus_0_soc,bus_1_soc,bus_2_soc
2,240.0,37.74686930249101,25.45854843778667,30.458919700715725
4,240.0,37.80242485804657,25.514103993342225,30.417253034049065
6,240.0,37.85798041360213,25.569659548897782,30.375586367382397
8,240.0,37.913535969157685,25.625215104453336,30.333919700715732
10,240.0,37.96909152471324,25.680770660008896,30.292253034049065
12,240.0,38.02464708026881,25.736326215564446,30.250586367382404
14,240.0,38.080202635824364,25.79188177112,30.208919700715743
16,240.0,38.13575819137992,25.84743732667556,30.167253034049075
18,240.0,38.19131374693548,25.902992882231114,30.12558636738241
20,240.0,38.246869302491035,25.95854843778667,30.083919700715743
22,240.0,38.3024248580466,26.014103993342225,30.042253034049082
24,240.0,38.35798041360216,26.06965954889778,30.00058636738242
26,240.0,38.413535969157714,26.125215104453336,29.958919700715754
28,240.0,38.469091524713264,26.18077066000889,29.91725303404909
30,240.0,38.52464708026883,26.23632621556445,29.87558636738242
32,240.0,38.580202635824385,26.29188177112,29.83391970071576
34,240.0,38.63575819137994,26.347437326675553,29.7922530340491
36,240.0,38.6913137469355,26.402992882231114,29.750586367382432
38,240.0,38.74686930249106,26.458548437786668,29.708919700715768
40,240.0,38.80242485804662,26.514103993342225,29.6672530340491
42,240.0,38.85798041360218,26.56965954889778,29.62558636738244
44,240.0,38.913535969157735,26.625215104453332,29.58391970071578
46,240.0,38.96909152471329,26.68077066000889,29.54225303404911
48,240.0,39.024647080268856,26.73632621556445,29.500586367382446
50,240.0,39.08020263582441,26.791881771120007,29.45891970071578
52,240.0,39.13575819137997,26.847437326675568,29.417253034049118
54,240.0,39.19131374693553,26.902992882231125,29.375586367382457
56,240.0,39.24686930249109,26.958548437786682,29.33391970071579
58,240.0,39.30242485804664,27.014103993342243,29.292253034049125
60,240.0,39.3579804136022,27.0696595488978,29.250586367382457
62,240.0,39.413535969157756,27.12521510445336,29.208919700715796
64,240.0,39.46909152471332,27.180770660008918,29.167253034049136
66,240.0,39.52464708026888,27.23632621556448,29.125586367382468
68,240.0,39.580202635824435,27.291881771120035,29.083919700715803
70,240.0,39.63575819137999,27.34743732667559,29.042253034049136
72,240.0,39.69131374693555,27.402992882231146,29.000586367382475
74,240.0,39.74686930249111,27.458548437786707,28.958919700715814
76,240.0,39.80242485804667,27.514103993342264,28.917253034049146
78,240.0,39.85798041360223,27.569659548897825,28.875586367382482
80,240.0,39.913535969157785,27.625215104453382,28.833919700715814
82,240.0,39.96909152471335,27.680770660008942,28.792253034049153
84,240.0,40.024647080268906,27.7363262155645,28.750586367382493
86,240.0,40.08020263582446,27.791881771120057,28.708919700715825
88,240.0,40.13575819138001,27.847437326675617,28.66725303404916
90,240.0,40.19131374693558,27.902992882231175,28.625586367382493
92,240.0,40.246869302491135,27.958548437786735,28.583919700715832
94,240.0,40.30242485804669,28.014103993342292,28.54225303404917
96,240.0,40.35798041360225,28.069659548897853,28.500586367382503
98,240.0,40.41353596915781,28.12521510445341,28.45891970071584
100,240.0,40.46909152471337,28.180770660008964,28.41725303404917
102,240.0,40.52464708026893,28.23632621556452,28.37558636738251
104,240.0,40.580202635824485,28.29188177112008,28.33391970071585
106,240.0,40.63575819138004,28.34743732667564,28.292253034049182
108,240.0,40.691313746935606,28.4029928822312,28.250586367382517
110,240.0,40.74686930249116,28.458548437786757,28.20891970071585
112,240.0,40.80242485804672,28.514103993342317,28.16725303404919
114,240.0,40.85798041360228,28.569659548897874,28.125586367382528
116,240.0,40.91353596915784,28.62521510445343,28.08391970071586
118,240.0,40.96909152471339,28.680770660008992,28.042253034049196
120,240.0,41.02464708026895,28.73632621556455,28.000586367382528
122,240.0,41.080202635824506,28.79188177112011,27.958919700715867
124,240.0,41.13575819138007,28.847437326675667,27.917253034049207
126,240.0,41.19131374693563,28.902992882231228,27.87558636738254
128,240.0,41.246869302491184,28.958548437786785,27.833919700715875
130,240.0,41.30242485804674,29.01410399334234,27.792253034049207
132,240.0,41.357980413602306,29.069659548897896,27.750586367382546
134,240.0,41.41353596915786,29.125215104453456,27.708919700715885
136,240.0,41.46909152471342,29.180770660009014,27.667253034049217
138,240.0,41.52464708026898,29.236326215564574,27.625586367382553
140,240.0,41.580202635824534,29.29188177112013,27.583919700715885
142,240.0,41.6357581913801,29.347437326675692,27.542253034049224
144,240.0,41.691313746935656,29.40299288223125,27.500586367382564
146,240.0,41.74686930249121,29.458548437786806,27.458919700715896
148,240.0,41.80242485804676,29.514103993342367,27.41725303404923
150,240.0,41.85798041360233,29.569659548897924,27.375586367382564
152,240.0,41.913535969157884,29.625215104453485,27.333919700715903
154,240.0,41.96909152471344,29.680770660009042,27.292253034049242
156,240.0,42.024647080269,29.736326215564603,27.250586367382574
158,240.0,42.08020263582456,29.79188177112016,27.20891970071591
160,240.0,42.13575819138012,29.847437326675713,27.167253034049242
162,240.0,42.19131374693568,29.90299288223127,27.12558636738258
164,240.0,42.246869302491234,29.95854843778683,27.08391970071592
166,240.0,42.30242485804679,30.01410399334239,27.042253034049253
168,240.0,42.357980413602355,30.06965954889795,27.00058636738259
170,240.0,42.41353596915791,30.125215104453506,26.95891970071592
172,240.0,42.46909152471347,30.180770660009067,26.91725303404926
174,240.0,42.52464708026903,30.236326215564624,26.8755863673826
176,240.0,42.58020263582459,30.29188177112018,26.83391970071593
178,240.0,42.63575819138014,30.347437326675742,26.792253034049267
180,240.0,42.6913137469357,30.4029928822313,26.7505863673826
182,240.0,42.746869302491255,30.45854843778686,26.70891970071594
184,240.0,42.80242485804682,30.514103993342417,26.667253034049278
