time_s,total_load_kw,bus_0_soc,bus_1_soc,bus_2_soc
2,360.0,37.74686930249101,25.45854843778667,30.458919700715725
4,360.0,37.80242485804657,25.514103993342225,30.514475256271282
6,360.0,37.85798041360213,25.569659548897782,30.570030811826843
8,360.0,37.913535969157685,25.625215104453336,30.6255863673824
10,360.0,37.96909152471324,25.680770660008896,30.68114192293796
12,360.0,38.02464708026881,25.736326215564446,30.736697478493518
14,360.0,38.080202635824364,25.79188177112,30.79225303404908
16,360.0,38.13575819137992,25.84743732667556,30.847808589604636
18,360.0,38.19131374693548,25.902992882231114,30.90336414516019
20,360.0,38.246869302491035,25.95854843778667,30.958919700715747
22,360.0,38.3024248580466,26.014103993342225,31.014475256271307
24,360.0,38.35798041360216,26.06965954889778,31.070030811826864
26,360.0,38.413535969157714,26.125215104453336,31.125586367382425
28,360.0,38.469091524713264,26.18077066000889,31.181141922937982
30,360.0,38.52464708026883,26.23632621556445,31.236697478493543
32,360.0,38.580202635824385,26.29188177112,31.2922530340491
34,360.0,38.63575819137994,26.347437326675553,31.347808589604657
36,360.0,38.6913137469355,26.402992882231114,31.403364145160218
38,360.0,38.74686930249106,26.458548437786668,31.458919700715775
40,360.0,38.80242485804662,26.514103993342225,31.514475256271336
42,360.0,38.85798041360218,26.56965954889778,31.570030811826893
44,360.0,38.913535969157735,26.625215104453332,31.625586367382454
46,360.0,38.96909152471329,26.68077066000889,31.68114192293801
48,360.0,39.024647080268856,26.73632621556445,31.736697478493564
50,360.0,39.08020263582441,26.791881771120007,31.79225303404912
52,360.0,39.13575819137997,26.847437326675568,31.847808589604682
54,360.0,39.19131374693553,26.902992882231125,31.90336414516024
56,360.0,39.24686930249109,26.958548437786682,31.9589197007158
58,360.0,39.30242485804664,27.014103993342243,32.01447525627136
60,360.0,39.3579804136022,27.0696595488978,32.07003081182692
62,360.0,39.413535969157756,27.12521510445336,32.125586367382475
64,360.0,39.46909152471332,27.180770660008918,32.18114192293803
66,360.0,39.52464708026888,27.23632621556448,32.23669747849359
68,360.0,39.580202635824435,27.291881771120035,32.29225303404915
70,360.0,39.63575819137999,27.34743732667559,32.34780858960471
72,360.0,39.69131374693555,27.402992882231146,32.40336414516027
74,360.0,39.74686930249111,27.458548437786707,32.458919700715825
76,360.0,39.80242485804667,27.514103993342264,32.51447525627139
78,360.0,39.85798041360223,27.569659548897825,32.57003081182694
80,360.0,39.913535969157785,27.625215104453382,32.625586367382496
82,360.0,39.96909152471335,27.680770660008942,32.68114192293805
84,360.0,40.024647080268906,27.7363262155645,32.73669747849362
86,360.0,40.08020263582446,27.791881771120057,32.792253034049175
88,360.0,40.13575819138001,27.847437326675617,32.84780858960473
90,360.0,40.19131374693558,27.902992882231175,32.90336414516029
92,360.0,40.246869302491135,27.958548437786735,32.95891970071585
94,360.0,40.30242485804669,28.014103993342292,33.01447525627141
96,360.0,40.35798041360225,28.069659548897853,33.07003081182697
98,360.0,40.41353596915781,28.12521510445341,33.125586367382525
100,360.0,40.46909152471337,28.180770660008964,33.18114192293808
102,360.0,40.52464708026893,28.23632621556452,33.236697478493646
104,360.0,40.580202635824485,28.29188177112008,33.2922530340492
106,360.0,40.63575819138004,28.34743732667564,33.34780858960476
108,360.0,40.691313746935606,28.4029928822312,33.40336414516031
110,360.0,40.74686930249116,28.458548437786757,33.458919700715875
112,360.0,40.80242485804672,28.514103993342317,33.51447525627143
114,360.0,40.85798041360228,28.569659548897874,33.57003081182699
116,360.0,40.91353596915784,28.62521510445343,33.625586367382546
118,360.0,40.96909152471339,28.680770660008992,33.68114192293811
120,360.0,41.02464708026895,28.73632621556455,33.73669747849367
122,360.0,41.080202635824506,28.79188177112011,33.792253034049224
124,360.0,41.13575819138007,28.847437326675667,33.84780858960478
126,360.0,41.19131374693563,28.902992882231228,33.90336414516034
128,360.0,41.246869302491184,28.958548437786785,33.9589197007159
130,360.0,41.30242485804674,29.01410399334234,34.01447525627146
132,360.0,41.357980413602306,29.069659548897896,34.07003081182702
134,360.0,41.41353596915786,29.125215104453456,34.125586367382574
136,360.0,41.46909152471342,29.180770660009014,34.18114192293814
138,360.0,41.52464708026898,29.236326215564574,34.23669747849369
140,360.0,41.580202635824534,29.29188177112013,34.292253034049246
142,360.0,41.6357581913801,29.347437326675692,34.3478085896048
144,360.0,41.691313746935656,29.40299288223125,34.40336414516037
146,360.0,41.74686930249121,29.458548437786806,34.458919700715924
148,360.0,41.80242485804676,29.514103993342367,34.51447525627148
150,360.0,41.85798041360233,29.569659548897924,34.57003081182704
152,360.0,41.913535969157884,29.625215104453485,34.625586367382596
154,360.0,41.96909152471344,29.680770660009042,34.68114192293816
156,360.0,42.024647080269,29.736326215564603,34.73669747849372
158,360.0,42.08020263582456,29.79188177112016,34.792253034049274
160,360.0,42.13575819138012,29.847437326675713,34.84780858960483
162,360.0,42.19131374693568,29.90299288223127,34.903364145160396
164,360.0,42.246869302491234,29.95854843778683,34.95891970071595
166,360.0,42.30242485804679,30.01410399334239,35.01447525627151
168,360.0,42.357980413602355,30.06965954889795,35.07003081182706
170,360.0,42.41353596915791,30.125215104453506,35.125586367382624
172,360.0,42.46909152471347,30.180770660009067,35.18114192293818
174,360.0,42.52464708026903,30.236326215564624,35.23669747849374
176,360.0,42.58020263582459,30.29188177112018,35.292253034049295
178,360.0,42.63575819138014,30.347437326675742,35.34780858960486
180,360.0,42.6913137469357,30.4029928822313,35.40336414516042
182,360.0,42.746869302491255,30.45854843778686,35.458919700715974
184,360.0,42.80242485804682,30.514103993342417,35.51447525627153
186,360.0,42.85798041360238,30.569659548897977,35.57003081182709
188,360.0,42.913535969157934,30.625215104453535,35.62558636738265
190,360.0,42.96909152471349,30.680770660009088,35.68114192293821
192,360.0,43.02464708026905,30.736326215564645,35.73669747849377
194,360.0,43.08020263582461,30.791881771120206,35.792253034049324
196,360.0,43.13575819138017,30.847437326675763,35.84780858960489
198,360.0,43.19131374693573,30.902992882231324,35.90336414516044
200,360.0,43.246869302491284,30.95854843778688,35.958919700715995
202,360.0,43.30242485804685,31.01410399334244,36.01447525627155
204,360.0,43.357980413602405,31.069659548898,36.07003081182712
206,360.0,43.41353596915796,31.125215104453556,36.125586367382674
208,360.0,43.46909152471351,31.180770660009117,36.18114192293823
210,360.0,43.52464708026908,31.236326215564674,36.23669747849379
212,360.0,43.580202635824634,31.291881771120234,36.29225303404935
214,360.0,43.63575819138019,31.34743732667579,36.34780858960491
216,360.0,43.69131374693575,31.402992882231352,36.40336414516047
218,360.0,43.74686930249131,31.45854843778691,36.458919700716024
220,360.0,43.80242485804687,31.514103993342463,36.51447525627158
222,360.0,43.85798041360243,31.56965954889802,36.570030811827145
224,360.0,43.913535969157984,31.62521510445358,36.6255863673827
226,360.0,43.96909152471354,31.680770660009138,36.68114192293826
228,360.0,44.024647080269105,31.7363262155647,36.73669747849381
230,360.0,44.08020263582466,31.791881771120256,36.792253034049374
232,360.0,44.13575819138022,31.847437326675816,36.84780858960493
234,360.0,44.191313746935776,31.902992882231374,36.90336414516049
236,360.0,44.24686930249134,31.95854843778693,36.958919700716045
238,360.0,44.30242485804689,32.01410399334249,37.01447525627161
240,360.0,44.35798041360245,32.06965954889805,37.070030811827166
242,360.0,44.413535969158005,32.12521510445361,37.12558636738272
244,360.0,44.46909152471357,32.180770660009166,37.18114192293828
246,360.0,44.524647080269126,32.23632621556472,37.23669747849384
248,360.0,44.58020263582468,32.29188177112029,37.2922530340494
250,360.0,44.63575819138024,32.34743732667584,37.34780858960496
252,360.0,44.691313746935805,32.402992882231395,37.403364145160516
254,360.0,44.74686930249136,32.45854843778695,37.45891970071607
256,360.0,44.80242485804692,32.514103993342516,37.51447525627164
258,360.0,44.857980413602476,32.56965954889807,37.57003081182719
260,360.0,44.91353596915803,32.62521510445363,37.625586367382745
262,360.0,44.9690915247136,32.68077066000919,37.6811419229383
264,360.0,45.024647080269155,32.736326215564745,37.736697478493866
266,360.0,45.08020263582471,32.79188177112031,37.79225303404942
268,360.0,45.13575819138026,32.847437326675866,37.84780858960498
270,360.0,45.191313746935826,32.90299288223142,37.90336414516054
272,360.0,45.24686930249138,32.95854843778698,37.958919700716095
274,360.0,45.30242485804694,33.014103993342545,38.01447525627166
276,360.0,45.3579804136025,33.0696595488981,38.070030811827216
278,360.0,45.41353596915806,33.12521510445366,38.12558636738277
280,360.0,45.46909152471362,33.18077066000921,38.18114192293833
282,360.0,45.524647080269176,33.23632621556477,38.236697478493895
284,360.0,45.58020263582473,33.29188177112033,38.29225303404945
286,360.0,45.63575819138029,33.34743732667589,38.34780858960501
288,360.0,45.691313746935855,33.402992882231445,38.40336414516056
290,360.0,45.74686930249141,33.45854843778701,38.45891970071612
292,360.0,45.80242485804697,33.514103993342566,38.51447525627168
294,360.0,45.857980413602526,33.56965954889812,38.57003081182724
296,360.0,45.91353596915809,33.62521510445368,38.625586367382795
298,360.0,45.96909152471364,33.68077066000924,38.68114192293836
300,360.0,46.0246470802692,33.7363262155648,38.736697478493916
302,360.0,46.080202635824755,33.79188177112036,38.79225303404947
304,360.0,46.13575819138032,33.847437326675916,38.84780858960503
306,360.0,46.191313746935876,33.90299288223147,38.90336414516059
308,360.0,46.24686930249143,33.95854843778704,38.95891970071615
310,360.0,46.30242485804699,34.01410399334259,39.01447525627171
312,360.0,46.35798041360255,34.069659548898144,39.070030811827266
314,360.0,46.41353596915811,34.1252151044537,39.12558636738282
316,360.0,46.46909152471367,34.180770660009266,39.18114192293839
318,360.0,46.524647080269226,34.23632621556482,39.23669747849394
320,360.0,46.58020263582478,34.29188177112038,39.292253034049494
322,360.0,46.63575819138035,34.34743732667594,39.34780858960505
324,360.0,46.691313746935904,34.4029928822315,39.403364145160616
326,360.0,46.74686930249146,34.45854843778706,39.45891970071617
328,360.0,46.80242485804701,34.514103993342616,39.51447525627173
330,360.0,46.857980413602576,34.56965954889817,39.57003081182729
332,360.0,46.91353596915813,34.62521510445373,39.62558636738285
334,360.0,46.96909152471369,34.680770660009294,39.68114192293841
336,360.0,47.02464708026925,34.73632621556485,39.736697478493966
338,360.0,47.08020263582481,34.79188177112041,39.79225303404952
340,360.0,47.13575819138037,34.84743732667596,39.84780858960508
342,360.0,47.191313746935926,34.90299288223152,39.903364145160644
344,360.0,47.24686930249148,34.95854843778708,39.9589197007162
346,360.0,47.30242485804704,35.01410399334264,40.01447525627176
348,360.0,47.357980413602604,35.069659548898194,40.07003081182731
350,360.0,47.41353596915816,35.12521510445376,40.12558636738287
352,360.0,47.46909152471372,35.180770660009316,40.18114192293843
354,360.0,47.524647080269276,35.23632621556487,40.23669747849399
356,360.0,47.58020263582484,35.29188177112043,40.292253034049544
358,360.0,47.63575819138039,35.34743732667599,40.34780858960511
360,360.0,47.69131374693595,35.40299288223155,40.403364145160666
362,360.0,47.746869302491504,35.45854843778711,40.45891970071622
364,360.0,47.80242485804707,35.514103993342665,40.51447525627178
366,360.0,47.857980413602625,35.56965954889822,40.57003081182734
368,360.0,47.91353596915818,35.62521510445379,40.6255863673829
370,360.0,47.96909152471374,35.68077066000934,40.68114192293846
372,360.0,48.024647080269304,35.736326215564894,40.736697478494015
374,360.0,48.08020263582486,35.79188177112045,40.79225303404957
376,360.0,48.13575819138042,35.847437326676015,40.84780858960514
378,360.0,48.191313746935975,35.90299288223157,40.90336414516069
380,360.0,48.24686930249153,35.95854843778713,40.958919700716244
382,360.0,48.3024248580471,36.01410399334269,41.0144752562718
384,360.0,48.357980413602654,36.069659548898244,41.070030811827365
386,360.0,48.41353596915821,36.12521510445381,41.12558636738292
388,360.0,48.46909152471376,36.180770660009365,41.18114192293848
390,360.0,48.524647080269325,36.23632621556492,41.23669747849404
392,360.0,48.58020263582488,36.29188177112048,41.292253034049594
394,360.0,48.63575819138044,36.347437326676044,41.34780858960516
396,360.0,48.691313746936,36.4029928822316,41.403364145160715
398,360.0,48.74686930249156,36.45854843778716,41.45891970071627
400,360.0,48.80242485804712,36.51410399334271,41.51447525627183
402,360.0,48.857980413602675,36.56965954889827,41.570030811827394
404,360.0,48.91353596915823,36.62521510445383,41.62558636738295
406,360.0,48.96909152471379,36.68077066000939,41.68114192293851
408,360.0,49.024647080269354,36.736326215564944,41.73669747849406
410,360.0,49.08020263582491,36.79188177112051,41.79225303404962
412,360.0,49.13575819138047,36.847437326676065,41.84780858960518
414,360.0,49.191313746936025,36.90299288223162,41.90336414516074
416,360.0,49.24686930249159,36.95854843778718,41.958919700716294
418,360.0,49.30242485804714,37.01410399334274,42.01447525627186
420,360.0,49.3579804136027,37.0696595488983,42.070030811827415
422,360.0,49.413535969158254,37.12521510445386,42.12558636738297
424,360.0,49.46909152471382,37.180770660009415,42.18114192293853
426,360.0,49.524647080269375,37.23632621556497,42.23669747849409
428,360.0,49.58020263582493,37.291881771120536,42.29225303404965
430,360.0,49.63575819138049,37.347437326676086,42.34780858960521
432,360.0,49.691313746936046,37.40299288223164,42.403364145160765
434,360.0,49.74686930249161,37.4585484377872,42.45891970071632
436,360.0,49.80242485804717,37.514103993342765,42.514475256271886
438,360.0,49.857980413602725,37.56965954889832,42.570030811827436
440,360.0,49.91353596915828,37.62521510445388,42.625586367382994
442,360.0,49.969091524713846,37.680770660009436,42.68114192293855
444,360.0,50.0246470802694,37.736326215565,42.736697478494115
446,360.0,50.08020263582495,37.79188177112056,42.79225303404967
448,360.0,50.13575819138052,37.847437326676115,42.84780858960523
450,360.0,50.191313746936075,37.90299288223167,42.903364145160786
452,360.0,50.24686930249164,37.95854843778723,42.95891970071635
454,360.0,50.30242485804719,38.01410399334279,43.01447525627191
456,360.0,50.35798041360275,38.06965954889835,43.070030811827465
458,360.0,50.41353596915831,38.12521510445391,43.12558636738302
460,360.0,50.469091524713875,38.18077066000946,43.18114192293858
462,360.0,50.524647080269425,38.23632621556502,43.23669747849414
464,360.0,50.580202635824975,38.29188177112058,43.2922530340497
466,360.0,50.63575819138054,38.347437326676136,43.34780858960526
468,360.0,50.691313746936096,38.40299288223169,43.40336414516081
470,360.0,50.74686930249166,38.45854843778726,43.45891970071637
472,360.0,50.80242485804721,38.514103993342815,43.51447525627193
474,360.0,50.857980413602775,38.56965954889837,43.570030811827486
476,360.0,50.91353596915833,38.62521510445393,43.62558636738304
478,360.0,50.969091524713896,38.680770660009486,43.68114192293861
480,360.0,51.024647080269446,38.73632621556505,43.736697478494165
482,360.0,51.08020263582501,38.79188177112061,43.79225303404972
484,360.0,51.13575819138057,38.847437326676165,43.84780858960528
486,360.0,51.19131374693613,38.90299288223172,43.903364145160836
488,360.0,51.24686930249168,38.958548437787286,43.9589197007164
490,360.0,51.302424858047246,39.014103993342836,44.01447525627196
492,360.0,51.3579804136028,39.06965954889839,44.070030811827515
494,360.0,51.41353596915835,39.12521510445395,44.12558636738307
496,360.0,51.46909152471392,39.180770660009514,44.181141922938636
498,360.0,51.52464708026947,39.23632621556507,44.236697478494186
500,360.0,51.58020263582503,39.29188177112063,44.29225303404974
502,360.0,51.63575819138059,39.347437326676186,44.3478085896053
504,360.0,51.69131374693615,39.40299288223174,44.403364145160864
506,360.0,51.7468693024917,39.45854843778731,44.45891970071642
508,360.0,51.80242485804727,39.514103993342864,44.51447525627198
510,360.0,51.857980413602824,39.56965954889842,44.570030811827536
512,360.0,51.91353596915839,39.62521510445398,44.62558636738309
514,360.0,51.96909152471394,39.68077066000954,44.68114192293866
516,360.0,52.0246470802695,39.7363262155651,44.736697478494214
518,360.0,52.08020263582506,39.79188177112066,44.79225303404977
520,360.0,52.135758191380624,39.84743732667621,44.84780858960533
522,360.0,52.191313746936174,39.90299288223177,44.90336414516089
524,360.0,52.246869302491724,39.95854843778733,44.95891970071645
526,360.0,52.30242485804729,40.014103993342886,45.01447525627201
528,360.0,52.357980413602846,40.06965954889844,45.07003081182756
530,360.0,52.41353596915841,40.12521510445401,45.12558636738312
532,360.0,52.46909152471396,40.180770660009564,45.18114192293868
534,360.0,52.524647080269524,40.23632621556512,45.236697478494236
536,360.0,52.58020263582508,40.29188177112068,45.29225303404979
538,360.0,52.635758191380646,40.347437326676236,45.34780858960536
540,360.0,52.691313746936196,40.4029928822318,45.403364145160914
542,360.0,52.74686930249176,40.45854843778736,45.45891970071647
544,360.0,52.80242485804732,40.514103993342914,45.51447525627203
546,360.0,52.85798041360288,40.56965954889847,45.570030811827586
548,360.0,52.91353596915843,40.625215104454035,45.62558636738315
550,360.0,52.969091524713996,40.680770660009586,45.68114192293871
552,360.0,53.024647080269546,40.73632621556514,45.736697478494264
554,360.0,53.0802026358251,40.7918817711207,45.79225303404982
556,360.0,53.13575819138067,40.847437326676264,45.847808589605386
558,360.0,53.19131374693622,40.90299288223182,45.903364145160936
560,360.0,53.24686930249178,40.95854843778738,45.95891970071649
562,360.0,53.30242485804734,41.014103993342935,46.01447525627205
564,360.0,53.35798041360289,41.0696595488985,46.070030811827614
566,360.0,53.413535969158445,41.12521510445406,46.12558636738317
568,360.0,53.469091524713996,41.180770660009614,46.18114192293873
570,360.0,53.52464708026955,41.23632621556517,46.236697478494285
572,360.0,53.5802026358251,41.29188177112073,46.29225303404985
574,360.0,53.63575819138065,41.34743732667629,46.34780858960541
576,360.0,53.69131374693621,41.40299288223185,46.403364145160964
578,360.0,53.74686930249176,41.45854843778741,46.45891970071652
580,360.0,53.80242485804732,41.51410399334296,46.51447525627208
582,360.0,53.85798041360287,41.56965954889852,46.57003081182764
584,360.0,53.913535969158424,41.62521510445408,46.6255863673832
586,360.0,53.969091524713974,41.680770660009635,46.68114192293876
588,360.0,54.02464708026952,41.73632621556519,46.73669747849431
590,360.0,54.08020263582507,41.79188177112076,46.79225303404987
592,360.0,54.135758191380624,41.847437326676314,46.84780858960543
594,360.0,54.191313746936174,41.90299288223187,46.903364145160985
596,360.0,54.24686930249173,41.95854843778743,46.95891970071654
598,360.0,54.30242485804728,42.014103993342985,47.01447525627211
600,360.0,54.35798041360284,42.06965954889855,47.070030811827664
602,360.0,54.41353596915839,42.12521510445411,47.12558636738322
604,360.0,54.46909152471394,42.180770660009664,47.18114192293878
606,360.0,54.524647080269496,42.23632621556522,47.236697478494335
608,360.0,54.580202635825046,42.291881771120785,47.2922530340499
610,360.0,54.6357581913806,42.347437326676335,47.34780858960546
612,360.0,54.69131374693615,42.40299288223189,47.403364145161014
614,360.0,54.74686930249171,42.45854843778745,47.45891970071657
616,360.0,54.80242485804726,42.514103993343014,47.514475256272135
618,360.0,54.8579804136028,42.56965954889857,47.570030811827685
620,360.0,54.91353596915835,42.62521510445413,47.62558636738324
622,360.0,54.96909152471391,42.680770660009685,47.6811419229388
624,360.0,55.02464708026946,42.73632621556524,47.736697478494364
626,360.0,55.08020263582502,42.791881771120806,47.79225303404992
628,360.0,55.13575819138057,42.84743732667636,47.84780858960548
630,360.0,55.191313746936125,42.90299288223192,47.903364145161035
632,360.0,55.246869302491675,42.95854843778748,47.95891970071659
634,360.0,55.302424858047225,43.01410399334304,48.014475256272156
636,360.0,55.35798041360278,43.0696595488986,48.07003081182771
638,360.0,55.41353596915833,43.125215104454156,48.12558636738327
640,360.0,55.46909152471389,43.180770660009706,48.18114192293883
642,360.0,55.52464708026944,43.23632621556527,48.23669747849439
644,360.0,55.580202635824996,43.29188177112083,48.29225303404995
646,360.0,55.635758191380546,43.347437326676385,48.347808589605506
648,360.0,55.69131374693609,43.40299288223194,48.403364145161056
650,360.0,55.74686930249164,43.458548437787506,48.45891970071662
652,360.0,55.802424858047196,43.51410399334306,48.51447525627218
654,360.0,55.857980413602746,43.56965954889862,48.570030811827735
656,360.0,55.9135359691583,43.62521510445418,48.62558636738329
658,360.0,55.96909152471385,43.680770660009735,48.681141922938856
660,360.0,56.02464708026941,43.7363262155653,48.73669747849441
662,360.0,56.08020263582496,43.791881771120856,48.79225303404997
664,360.0,56.13575819138051,43.84743732667641,48.84780858960553
666,360.0,56.19131374693607,43.90299288223197,48.903364145161085
668,360.0,56.24686930249162,43.958548437787535,48.95891970071665
670,360.0,56.302424858047175,44.014103993343085,49.014475256272206
672,360.0,56.357980413602725,44.06965954889864,49.07003081182776
674,360.0,56.41353596915828,44.1252151044542,49.12558636738332
676,360.0,56.46909152471383,44.18077066000976,49.181141922938885
678,360.0,56.524647080269375,44.23632621556532,49.236697478494435
680,360.0,56.580202635824925,44.29188177112088,49.29225303404999
682,360.0,56.63575819138048,44.347437326676435,49.34780858960555
684,360.0,56.69131374693603,44.402992882232,49.40336414516111
686,360.0,56.74686930249159,44.458548437787556,49.45891970071667
688,360.0,56.80242485804714,44.51410399334311,49.51447525627223
690,360.0,56.8579804136027,44.56965954889867,49.570030811827785
692,360.0,56.91353596915825,44.62521510445423,49.62558636738335
694,360.0,56.9690915247138,44.68077066000979,49.681141922938906
696,360.0,57.024647080269354,44.73632621556535,49.73669747849446
698,360.0,57.080202635824904,44.791881771120906,49.79225303405002
700,360.0,57.13575819138046,44.847437326676456,49.84780858960558
702,360.0,57.19131374693601,44.90299288223202,49.90336414516114
704,360.0,57.24686930249157,44.95854843778758,49.9589197007167
706,360.0,57.30242485804712,45.014103993343134,50.01447525627225
708,360.0,57.35798041360266,45.06965954889869,50.07003081182781
710,360.0,57.41353596915821,45.125215104454256,50.12558636738337
712,360.0,57.46909152471377,45.18077066000981,50.181141922938934
714,360.0,57.52464708026932,45.23632621556537,50.236697478494484
716,360.0,57.580202635824875,45.29188177112093,50.29225303405005
718,360.0,57.635758191380425,45.347437326676484,50.347808589605606
720,360.0,57.69131374693598,45.40299288223205,50.40336414516117
722,360.0,57.74686930249153,45.458548437787606,50.45891970071672
724,360.0,57.80242485804708,45.51410399334316,50.51447525627227
726,360.0,57.85798041360264,45.56965954889872,50.570030811827834
728,360.0,57.91353596915819,45.625215104454284,50.62558636738339
730,360.0,57.96909152471375,45.680770660009834,50.681141922938956
732,360.0,58.0246470802693,45.73632621556539,50.736697478494506
734,360.0,58.080202635824854,45.79188177112095,50.79225303405007
736,360.0,58.135758191380404,45.84743732667651,50.84780858960563
738,360.0,58.19131374693595,45.90299288223207,50.90336414516119
740,360.0,58.2468693024915,45.95854843778763,50.95891970071674
742,360.0,58.302424858047054,46.014103993343184,51.014475256272306
744,360.0,58.357980413602604,46.06965954889874,51.07003081182786
746,360.0,58.41353596915816,46.125215104454306,51.12558636738343
748,360.0,58.46909152471371,46.18077066000986,51.18114192293898
750,360.0,58.52464708026927,46.23632621556542,51.23669747849454
752,360.0,58.58020263582482,46.29188177112098,51.29225303405009
754,360.0,58.63575819138037,46.34743732667654,51.34780858960565
756,360.0,58.691313746935926,46.4029928822321,51.40336414516121
758,360.0,58.746869302491476,46.458548437787655,51.45891970071676
760,360.0,58.80242485804703,46.514103993343205,51.51447525627233
762,360.0,58.85798041360258,46.56965954889877,51.570030811827884
764,360.0,58.91353596915814,46.62521510445433,51.62558636738345
766,360.0,58.96909152471369,46.680770660009884,51.681141922939
768,360.0,59.02464708026923,46.73632621556544,51.73669747849456
770,360.0,59.08020263582478,46.791881771121005,51.79225303405012
772,360.0,59.13575819138034,46.84743732667656,51.847808589605684
774,360.0,59.19131374693589,46.90299288223212,51.903364145161234
776,360.0,59.24686930249145,46.95854843778768,51.9589197007168
778,360.0,59.302424858047,47.014103993343234,52.014475256272355
780,360.0,59.357980413602554,47.0696595488988,52.07003081182792
782,360.0,59.413535969158104,47.125215104454355,52.12558636738347
784,360.0,59.469091524713654,47.18077066000991,52.18114192293902
786,360.0,59.52464708026921,47.23632621556547,52.236697478494584
788,360.0,59.58020263582476,47.291881771121034,52.29225303405014
790,360.0,59.63575819138032,47.347437326676584,52.347808589605705
792,360.0,59.69131374693587,47.40299288223214,52.403364145161255
794,360.0,59.746869302491426,47.4585484377877,52.45891970071682
796,360.0,59.802424858046976,47.51410399334326,52.51447525627238
798,360.0,59.85798041360252,47.56965954889882,52.57003081182794
800,360.0,59.91353596915807,47.62521510445438,52.62558636738349
802,360.0,59.969091524713626,47.680770660009934,52.681141922939055
804,360.0,60.024647080269176,47.7363262155655,52.73669747849461
806,360.0,60.08020263582473,47.791881771121055,52.79225303405018
808,360.0,60.13575819138028,47.84743732667661,52.84780858960573
810,360.0,60.19131374693584,47.90299288223217,52.90336414516129
812,360.0,60.24686930249139,47.95854843778773,52.95891970071685
814,360.0,60.30242485804694,48.01410399334329,53.0144752562724
816,360.0,60.3579804136025,48.06965954889885,53.07003081182796
818,360.0,60.41353596915805,48.125215104454405,53.12558636738351
820,360.0,60.469091524713605,48.180770660009955,53.18114192293908
822,360.0,60.524647080269155,48.23632621556552,53.236697478494634
824,360.0,60.58020263582471,48.291881771121076,53.2922530340502
826,360.0,60.63575819138026,48.34743732667663,53.34780858960575
828,360.0,60.691313746935805,48.40299288223219,53.403364145161305
830,360.0,60.746869302491355,48.458548437787755,53.458919700716855
832,360.0,60.80242485804691,48.51410399334331,53.51447525627241
834,360.0,60.85798041360246,48.56965954889887,53.57003081182796
836,360.0,60.91353596915802,48.625215104454426,53.62558636738351
838,360.0,60.96909152471357,48.68077066000998,53.68114192293907
840,360.0,61.024647080269126,48.73632621556555,53.73669747849462
842,360.0,61.080202635824676,48.791881771121105,53.79225303405018
844,360.0,61.135758191380226,48.84743732667666,53.84780858960573
